vin,reported_odometer,ecu_ecm,ecu_tcm,ecu_abs,ecu_airbag,ecu_cluster,engine_hours,max_variance,avg_speed,is_tampered
MA3ERLF3800000000,25203,25384,25307,25379,25138,25207,540.81,246,46.6,0
MA3ERLF3800000001,127413,127301,127350,127547,127608,127540,2490.82,307,51.15,0
MA3ERLF3800000002,59786,138077,138049,59896,59916,59786,4559.76,78291,13.11,1
MA3ERLF3800000003,164633,164690,164828,164724,164728,164725,5001.17,138,32.92,0
MA3ERLF3800000004,15663,18956,18797,18956,18827,15663,383.75,3293,40.82,1
MA3ERLF3800000005,50949,50998,51136,50948,51133,50950,1342.01,188,37.96,0
MA3ERLF3800000006,17345,17806,17841,17868,17768,17345,478.85,523,36.22,1
MA3ERLF3800000007,22141,21993,21977,22292,22242,22008,568.28,315,38.96,0
MA3ERLF3800000008,25541,25655,25366,25412,25567,25735,538.01,369,47.47,0
MA3ERLF3800000009,23529,49871,49932,49780,49893,23529,913.15,26403,25.77,1
MA3ERLF3800000010,142713,142671,142663,142606,142532,142545,2609.94,139,54.68,0
MA3ERLF3800000011,44494,44430,44320,44456,44568,44330,1244.77,248,35.74,0
MA3ERLF3800000012,28405,152793,152929,152770,28320,28405,4194.89,124609,6.77,1
MA3ERLF3800000013,19466,41844,41642,41612,19348,19466,1162.12,22496,16.75,1
MA3ERLF3800000014,23211,23038,23048,23058,23179,23030,752.74,149,30.84,0
MA3ERLF3800000015,20473,143355,143331,143477,20615,20473,4469.35,123004,4.58,1
MA3ERLF3800000016,27613,27617,27628,27798,27599,27472,549.37,326,50.26,0
MA3ERLF3800000017,52153,126260,126247,126233,52020,52153,2665.92,74240,19.56,1
MA3ERLF3800000018,133020,171703,171505,171648,132964,133020,5207.92,38739,25.54,1
MA3ERLF3800000019,132208,132346,132127,132207,132119,132061,2476.28,285,53.39,0
MA3ERLF3800000020,30652,147986,148112,148115,148124,30652,2830.22,117472,10.83,1
MA3ERLF3800000021,102370,102451,102207,102247,102498,102203,2433.79,295,42.06,0
MA3ERLF3800000022,131602,131524,131513,131696,131482,131591,3590.0,214,36.66,0
MA3ERLF3800000023,109871,109840,109761,109962,109845,109806,2290.42,201,47.97,0
MA3ERLF3800000024,132233,157582,157719,157582,157801,132233,2983.26,25568,44.33,1
MA3ERLF3800000025,43775,43585,43705,43957,43699,43880,1035.83,372,42.26,0
MA3ERLF3800000026,21109,20947,21083,20920,21163,21156,636.6,243,33.16,0
MA3ERLF3800000027,138690,138668,138607,138583,138715,138849,4019.68,266,34.5,0
MA3ERLF3800000028,177877,177735,177713,177682,177792,178000,5881.35,318,30.24,0
MA3ERLF3800000029,31051,126214,126439,126228,126309,31051,2599.11,95388,11.95,1
MA3ERLF3800000030,28573,101812,102059,28484,28583,28573,2947.63,73575,9.69,1
MA3ERLF3800000031,163388,163499,163326,163534,163234,163447,5080.68,300,32.16,0
MA3ERLF3800000032,148972,149102,149033,148838,148958,149003,3252.04,264,45.81,0
MA3ERLF3800000033,178022,177840,177966,178154,178010,178155,5587.01,315,31.86,0
MA3ERLF3800000034,52603,52419,52762,52466,52723,52624,1393.77,343,37.74,0
MA3ERLF3800000035,176208,176399,176396,176226,176063,176133,3361.96,336,52.41,0
MA3ERLF3800000036,32337,32239,32484,32142,32416,32492,818.77,350,39.49,0
MA3ERLF3800000037,108402,108507,108259,108350,108472,108542,3274.62,283,33.1,0
